id,us_state_id,name,abbreviation,created_at,updated_at
1,1,AUTAUGA,,32:33.9,32:33.9
2,1,BALDWIN,,32:34.2,32:34.2
3,1,BARBOUR,,32:35.3,32:35.3
4,1,BIBB,,32:35.5,32:35.5
5,1,BLOUNT,,32:35.7,32:35.7
6,1,BULLOCK,,32:36.1,32:36.1
7,1,BUTLER,,32:36.2,32:36.2
8,1,CALHOUN,,32:36.4,32:36.4
9,1,CHAMBERS,,32:36.8,32:36.8
10,1,CHEROKEE,,32:37.1,32:37.1
11,1,CHILTON,,32:37.4,32:37.4
12,1,CHOCTAW,,32:37.7,32:37.7
13,1,CLARKE,,32:38.0,32:38.0
14,1,CLAY,,32:38.2,32:38.2
15,1,CLEBURNE,,32:38.4,32:38.4
16,1,COFFEE,,32:38.5,32:38.5
17,1,COLBERT,,32:38.7,32:38.7
18,1,CONECUH,,32:38.9,32:38.9
19,1,COOSA,,32:39.1,32:39.1
20,1,COVINGTON,,32:39.3,32:39.3
21,1,CRENSHAW,,32:39.7,32:39.7
22,1,CULLMAN,,32:39.9,32:39.9
23,1,DALE,,32:40.4,32:40.4
24,1,DALLAS,,32:40.7,32:40.7
25,1,DEKALB,,32:41.1,32:41.1
26,1,ELMORE,,32:41.6,32:41.6
27,1,ESCAMBIA,,32:44.9,32:44.9
28,1,ETOWAH,,32:45.1,32:45.1
29,1,FAYETTE,,32:45.4,32:45.4
30,1,FRANKLIN,,32:45.6,32:45.6
31,1,GENEVA,,32:45.8,32:45.8
32,1,GREENE,,32:46.0,32:46.0
33,1,HALE,,32:49.0,32:49.0
34,1,HENRY,,32:49.1,32:49.1
35,1,HOUSTON,,32:49.3,32:49.3
36,1,JACKSON,,32:49.6,32:49.6
37,1,JEFFERSON,,32:55.6,32:55.6
38,1,LAMAR,,33:00.8,33:00.8
39,1,LAUDERDALE,,33:01.0,33:01.0
40,1,LAWRENCE,,33:01.2,33:01.2
41,1,LEE,,33:01.3,33:01.3
42,1,LIMESTONE,,33:03.8,33:03.8
43,1,LOWNDES,,33:04.1,33:04.1
44,1,MACON,,33:04.3,33:04.3
45,1,MADISON,,33:04.5,33:04.5
46,1,MARENGO,,33:07.8,33:07.8
47,1,MARION,,33:08.1,33:08.1
48,1,MARSHALL,,33:08.4,33:08.4
49,1,MOBILE,,33:08.6,33:08.6
50,1,MONROE,,33:11.9,33:11.9
