Company|CompanyNum|ModelYear|ModelCat|Model|ModelNum|ModelWeb|Type|CCs|Stroke|Cyl|Speeds|Weight|ValueList|ValueLow|ValueAvg|ValueHigh|Version
HARLEY-DAVIDSON|1118|2007|Sportster|XL883|6200020754||CRUISERS|883|4|2|5|563|6855|1505|1800|2380|162
HARLEY-DAVIDSON|1118|2007|Sportster|XL883L|6200020756||CRUISERS|883|4|2|5|563|7255|1620|1945|2400|162
HARLEY-DAVIDSON|1118|2007|Sportster|XL883R|6200020757||CRUISERS|883|4|2|5|568|8055|1700|2055|2505|162
HARLEY-DAVIDSON|1118|2007|Sportster|XL883C|6200020755||CRUISERS|883|4|2|5|565|8220|1685|2035|2740|162
HARLEY-DAVIDSON|1118|2007|Sportster|XL1200R|6200020764||CRUISERS|1200|4|2|5|565|8955|2235|2695|3460|162
HARLEY-DAVIDSON|1118|2007|Sportster|XL50 SPORTSTER ANNIVERSARY|6200020765||CRUISERS|1200|4|2|5|558|9795|2380|2855|3465|162
HARLEY-DAVIDSON|1118|2007|Sportster|XL1200L SPORTSTER LOW|6200020763||CRUISERS|1200|4|2|5|557|9965|2345|3225|4360|162
HARLEY-DAVIDSON|1118|2007|Sportster|XL1200N|6200021634||CRUISERS|1200|4|2|5|543|9990|2730|3605|4645|162
HARLEY-DAVIDSON|1118|2007|Sportster|XL1200C|6200020762||CRUISERS|1200|4|2|5|562|10165|2420|2925|3985|162
HARLEY-DAVIDSON|1118|2007|VRSC|VRSCD NIGHTROD|6200020759||CRUISERS|1130|4|2|5|637|15280|3635|4650|5610|162
HARLEY-DAVIDSON|1118|2007|VRSC|VRSCR STREET ROD|6200020761||CRUISERS|1130|4|2|5|618|15780|4415|5355|5980|162
HARLEY-DAVIDSON|1118|2007|VRSC|VRSCDX NIGHTROD SPECIAL|6200020760||CRUISERS|1130|4|2|5|643|16495|4340|5385|6210|162
HARLEY-DAVIDSON|1118|2007|VRSC|VRSCAW|6200020758||CRUISERS|1130|4|2|5|637|16945|3670|4430|5930|162
HARLEY-DAVIDSON|1118|2007|VRSC|VRSCX|6200020766||CRUISERS|1250|4|2|5|637|19995|5180|6180|6995|162
HARLEY-DAVIDSON|1118|2007|Dyna|FXD DYNA SUPER GLIDE|6200020779||CRUISERS|1584|4|2|6|632|12720|3285|4090|4770|162
